,Temperature (K),Pb,Sn,Ge,Te,Se,S,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,Number_of_Configs,Hmix (meV/fu),Free Energy (meV/fu),Uncertainty (meV/fu),Smix_HT,Vegards E_hull,var_vol_norm,Hmix_unk (meV/fu)
0,600,0.333333333,0.333333333,0.333333333,0,0.5,0.5,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0.166666667,44,61.61165493,-30.66952726,1.471047034,0.15440188,34.259388,0.009762892,27.35226693
1,600,0,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,50,30.84161287,-4.921402656,1.035331751,0.059730801,2.571788,0.006109558,28.26982487
2,600,1,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,50,72.10851411,36.46503602,1.770742707,0.059730801,0,0.016793877,72.10851411
3,600,1,0,0,0,0.25,0.75,0,0.25,0.75,0,0,0,0,0,0,50,12.68420982,-16.38480326,0.315186193,0.048458292,0,0.001836029,12.68420982
4,600,1,0,0,0.166666667,0.416666667,0.416666667,0.166666667,0.416666667,0.416666667,0,0,0,0,0,0,50,42.61417766,-10.30703918,1.53035717,0.088602027,0,0.008908247,42.61417766
5,600,0.333333333,0.333333333,0.333333333,0.5,0,0.5,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,15,103.5251772,11.64788429,3.256987808,0.15440188,35.71187367,0.024425147,67.81330349
6,600,0.5,0.5,0,0,0.5,0.5,0,0.25,0.25,0,0.25,0.25,0,0,0,50,41.01778691,-30.62879995,0.451041464,0.119461601,19.436157,0.003469013,21.58162991
7,600,1,0,0,0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,0,0,0,50,55.22438459,1.815872826,1.859206354,0.089596201,0,0.012218149,55.22438459
8,600,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.25,0.25,0,0.25,0.25,39,65.06032408,-6.26288638,1.721877242,0.119461601,51.389082,0.007645817,13.67124208
9,600,1,0,0,0.166666667,0.833333333,0,0.166666667,0.833333333,0,0,0,0,0,0,0,50,20.4175782,-2.842006296,0.885641233,0.03882636,0,0.004160693,20.4175782
10,600,0,0.5,0.5,0.5,0,0.5,0,0,0,0.25,0,0.25,0.25,0,0.25,21,103.6659862,32.42653403,2.76012735,0.119461601,53.5678105,0.021501903,50.09817575
11,600,0.5,0.5,0,0.5,0,0.5,0.25,0,0.25,0.25,0,0.25,0,0,0,46,86.15282245,14.76674686,1.480230197,0.119461601,18.150263,0.017713959,68.00255945
12,600,1,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,50,16.72803172,-19.09139749,0.505202847,0.059730801,0,0.002331267,16.72803172
