,index,Unnamed: 0,level_0,Temperature (K),Partition Function,Energy_(eV/fu),Helmholtz,Entropy_(eV/Kfu),Hmix_Var,Volume_per_fu,Volume_per_fu_var,Hmix (meV/fu),Hmix (meV/fu)_var,Probs_Squared_Sum,Z/W,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,MnTe,MnSe,MnS,ZnTe,ZnSe,ZnS,Pb,Sn,Ge,Mn,Zn,Te,Se,S,Scaled_Entropy (meV/fuK),Number_of_Configs,Free Energy (meV/fu),Uncertainty (meV/fu),Vegards Volume_per_fu,Vegards Energy_per_fu,Vegards E_hull,Delta Volume per fu,percent difference Volume,Predicted_Energy_per_fu,H_mix_Predicted (meV/fu),EOS_Correction,EOS_abs_correction
0,0,114,114,600,13.14869884,0.061611655,-0.133206189,2.71E-05,95.21509257,53.19246948,0.456112376,61.61165493,84.15992875,0.023456083,0.298834064,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.5,0.15380197,44,-30.66952726,1.471047034,52.22754654,-8.73862,34.259388,0.964922932,1.847536398,-8.555900764,182.7192363,0.337193041,121.1075814
1,1,507,114,600,27.28699681,0.030841613,-0.170954631,2.80E-05,53.59559176,61.04843548,0.301266148,30.84161287,46.78666933,0.020353199,0.545739936,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,0.059605026,50,-4.921402656,1.035331751,60.71550456,-8.041531652,2.571788,0.332930918,0.548345797,-7.981233176,60.29847602,0.51148246,29.45686315
2,2,900,114,600,12.1056261,0.072108514,-0.128932725,2.79E-05,156.7764868,62.61613886,0.329183319,72.10851411,117.7379248,0.020917121,0.242112522,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0.059405797,50,36.46503602,1.770742707,62.33766016,-8.288956806,0,0.2784787,0.446726264,-8.133277111,155.6796955,0.463185092,83.57118138
3,3,1293,114,600,39.08798821,0.01268421,-0.189537302,2.81E-05,4.967116803,55.37252736,0.000625822,12.68420982,4.659436993,0.020034899,0.781759764,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0.75,0.048448355,50,-16.38480326,0.315186193,55.63560849,-8.766010129,0,-0.263081126,-0.472864652,-8.747412012,18.59811719,0.682015803,5.913907367
4,4,1686,114,600,21.50481327,0.042614178,-0.158642177,2.80E-05,117.0996533,59.26636483,0.135263005,42.61417766,99.48694181,0.020759319,0.430096265,0.166666667,0.416666667,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.166666667,0.416666667,0.416666667,0.088202028,50,-10.30703918,1.53035717,59.24598568,-8.460731534,0,0.020379151,0.034397522,-8.379621797,81.10973619,0.525389178,38.49555853
5,5,2079,114,600,1.97591837,0.103525177,-0.035212144,1.93E-05,159.1195437,57.69666066,0.826345984,103.5251772,124.3046711,0.06984493,0.131727891,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0.5,0,0.5,0.153128821,15,11.64788429,3.256987808,56.82225047,-8.419928552,35.71187367,0.87441019,1.538851739,-8.108096795,311.8317562,0.331990489,208.3065791
6,6,2472,114,600,22.57577574,0.041017787,-0.161155026,2.81E-05,10.17192012,55.29993285,0.121253171,41.01778691,9.66601696,0.02007247,0.451515515,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0.119410978,50,-30.62879995,0.451041464,55.18204706,-8.655601097,19.436157,0.117885793,0.2136307,-8.594903961,60.69713584,0.675777965,19.67934893
7,7,2865,114,600,16.70585077,0.055224385,-0.145585998,2.79E-05,172.8324133,59.71648767,0.180471742,55.22438459,141.592807,0.021090473,0.334117015,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.25,0.5,0.089014186,50,1.815872826,1.859206354,59.67481431,-8.454353057,0,0.041673361,0.069834086,-8.343450392,110.9026654,0.497953628,55.67828081
8,8,3258,114,600,10.8621403,0.065060324,-0.123328687,2.62E-05,115.6295882,50.49448786,1.212705061,65.06032408,103.8439842,0.026656977,0.278516418,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.118872017,39,-6.26288638,1.721877242,49.83533559,-8.798055347,51.389082,0.659152267,1.322660436,-8.616428578,181.6267681,0.358208896,116.566444
9,9,3651,114,600,33.46182811,0.020417578,-0.18150199,2.80E-05,39.21801967,61.53840102,0.005193513,20.4175782,34.70759429,0.020261409,0.669236562,0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.166666667,0.833333333,0,0.038765974,50,-2.842006296,0.885641233,61.53991895,-8.216963499,0,-0.001517934,-0.002466585,-8.181149285,35.81421344,0.570097071,15.39663524
10,10,4044,114,600,2.769375239,0.103665986,-0.052666817,2.17E-05,159.9843628,55.28725361,0.709602395,103.6659862,96.71144449,0.049421842,0.131875011,0,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0.11873242,21,32.42653403,2.76012735,54.06454563,-8.485414425,53.5678105,1.222707985,2.261570814,-8.174802207,310.6122176,0.333747291,206.9462314
11,11,4437,114,600,8.543752231,0.086152822,-0.110915431,2.74E-05,100.7897461,61.15395685,1.208058098,86.15282245,88.63084002,0.0224731,0.185733744,0.25,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0.118976793,46,14.76674686,1.480230197,60.21776602,-8.329921777,18.150263,0.936190838,1.554675472,-8.139623771,190.2980056,0.45272583,104.1451831
12,12,4830,114,600,36.09656288,0.016728032,-0.185420756,2.81E-05,12.76149581,56.84824237,0.001990307,16.72803172,12.1201785,0.020090889,0.721931258,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0.059699049,50,-19.09139749,0.505202847,57.01196845,-8.619749308,0,-0.16372608,-0.287178438,-8.595787816,23.96149194,0.69812146,7.233460213
